sheet,slot,id,pair,strategy,side,entry_pct,step,orders,size,max_size,mult,target,tp,profit,realized,unrealized,volume,note
2026-05-18/007,2,4794097720,BTCUSDT,INDICATOR,Short,0.3,0.03,5000,0.001,0.003,1.0,0.13,5,-2623.90,1239.06,-3862.96,7422947,окно 10.02-10.05 МИНУС
2026-05-18/007,3,6259455012,BTCUSDT,INDICATOR,Short,1.0,0.02,5000,0.001,0.003,1.2,0.13,5,-8213.53,3285.76,-11479.29,21713860,окно 10.02-10.05 МИНУС
2026-05-18/007,4,4833344942,BTCUSDT,INDICATOR,Short,0.7,0.02,5000,0.001,0.003,1.2,0.13,5,-7970.17,3509.12,-11479.29,21754510,окно 10.02-10.05 МИНУС
2026-05-18/008,1,4804019966,BTCUSDT,INDICATOR,Short,0.5,0.02,5000,0.001,0.003,1.2,0.13,5,-2622.01,1202.75,-3824.76,7245007,окно 10.02-10.05 МИНУС
2026-05-18/008,2,5685230335,BTCUSDT,INDICATOR,Short,0.4,0.02,5000,0.001,0.003,1.2,0.13,5,-3106.10,1190.05,-4296.15,7320493,окно 10.02-10.05 МИНУС
2026-05-18/008,3,5271827795,BTCUSDT,INDICATOR,Short,1.0,0.02,5000,0.001,0.003,1.2,0.13,5,425.17,425.17,0,5659967,окно 10.02-10.05 ПЛЮС мешок ноль
2026-05-18/008,4,6347205022,BTCUSDT,INDICATOR,Short,0.7,0.02,5000,0.001,0.003,1.2,0.13,5,-2867.01,1158.98,-4025.99,6839375,окно 10.02-10.05 МИНУС
2026-05-18/011,1,5045354007,BTCUSDT,INDICATOR,Short,0.7,0.02,5000,0.001,0.003,1.3,0.13,12,2315.98,2315.98,0,13407255,окно 10.02-10.05 мешок ноль
2026-05-18/011,2,4700093858,BTCUSDT,INDICATOR,Short,1.0,0.02,5000,0.001,0.003,1.3,0.13,10,1050.29,1050.29,0,15192798,окно 10.02-10.05 мешок ноль
2026-05-18/011,3,6230463333,BTCUSDT,INDICATOR,Short,1.0,0.02,5000,0.001,0.001,1.0,0.13,10,467.15,546.78,-79.63,6084288,окно 10.02-10.05
2026-05-18/011,4,4906901586,BTCUSDT,INDICATOR,Short,1.0,0.01,5000,0.001,0.001,1.0,0.13,5,799.58,799.58,0,9135628,окно 10.02-10.05 мешок ноль
2026-05-18/012,1,4906901586,BTCUSDT,INDICATOR,Short,1.0,0.01,5000,0.001,0.001,1.0,0.13,5,799.58,799.58,0,9135628,дубль
2026-05-18/012,2,6233046333,BTCUSDT,INDICATOR,Short,1.0,0.02,5000,0.001,0.003,1.3,0.13,10,467.15,546.78,-79.63,6084288,окно 10.02-10.05
2026-05-18/012,3,5264948241,BTCUSDT,INDICATOR,Short,1.0,0.01,5000,0.001,0.001,1.2,0.13,5,836.42,994.02,-157.60,7350264,окно 10.02-10.05
2026-05-18/012,4,4398358027,BTCUSDT,INDICATOR,Short,1.0,0.015,5000,0.001,0.003,1.0,0.13,5,501.14,607.94,-106.80,6698719,окно 10.02-10.05
2026-05-18/013,1,5396728649,BTCUSDT,INDICATOR,Short,1.0,0.01,5000,0.001,0.003,1.3,0.13,5,1803.16,1803.16,0,16657185,окно 10.02-10.05 мешок ноль
2026-05-18/013,2,4460902803,BTCUSDT,INDICATOR,Short,1.0,0.02,5000,0.001,0.003,1.3,0.13,5,950.75,950.75,0,11631531,окно 10.02-10.05 мешок ноль
2026-05-18/013,3,6298115033,BTCUSDT,INDICATOR,Short,1.0,0.01,5000,0.001,0.003,1.3,0.13,5,1824.27,1824.27,0,22295130,окно 10.02-10.05 мешок ноль
2026-05-18/013,4,6420737823,BTCUSDT,INDICATOR,Short,1.0,0.01,5000,0.001,0.003,1.3,0.13,5,1855.71,1855.71,0,15781340,окно 10.02-10.05 мешок ноль
2026-05-18/014,1,4460902803,BTCUSDT,INDICATOR,Short,1.0,0.02,5000,0.001,0.003,1.3,0.13,5,950.75,950.75,0,11631531,дубль
2026-05-18/014,2,4381083115,BTCUSDT,INDICATOR,Short,1.0,0.01,5000,0.001,0.002,1.3,0.13,10,1160.81,1472.25,-311.44,17928782,окно 10.02-10.05
2026-05-18/014,3,5389207795,BTCUSDT,INDICATOR,Short,1.0,0.02,5000,0.001,0.002,1.3,0.13,10,707.18,862.60,-155.41,10886250,окно 10.02-10.05
2026-05-18/014,4,4360821458,BTCUSDT,INDICATOR,Short,1.0,0.01,5000,0.001,0.001,1.3,0.13,10,650.64,808.24,-157.60,10982197,окно 10.02-10.05
2026-05-18/016,1,4712345247,BTCUSDT,INDICATOR,Short,1.0,0.02,5000,0.001,0.003,1.3,0.13,10,936.93,1164.58,-227.65,14760320,окно 10.02-10.05
2026-05-18/016,2,6425538439,BTCUSDT,INDICATOR,Short,1.0,0.01,5000,0.001,0.003,1.3,0.13,9,2125.97,2125.97,0,19028285,окно 10.02-10.05 мешок ноль
2026-05-18/016,3,4679977506,BTCUSDT,INDICATOR,Short,1.0,0.01,5000,0.001,0.003,1.3,0.13,8,2242.19,2242.19,0,18370096,окно 10.02-10.05 мешок ноль
2026-05-18/016,4,5242146191,BTCUSDT,INDICATOR,Short,1.0,0.01,5000,0.001,0.003,1.3,0.13,7,1931.33,1931.33,0,17313639,окно 10.02-10.05 мешок ноль
2026-05-18/017,1,5337096975,BTCUSDT,INDICATOR,Short,1.0,0.01,5000,0.001,0.003,1.3,0.04,12,-16960.48,6083.74,-23044.22,25388400,окно 10.02-10.05 ХУДШИЙ АРХИВА поза -4.3 BTC
2026-05-18/017,2,6201398031,BTCUSDT,INDICATOR,Short,1.0,0.01,5000,0.001,0.003,1.3,0.07,12,2002.65,2002.65,0,23315999,окно 10.02-10.05 мешок ноль
