ts_utc,bot_id,bot_name,alias,status,position,profit,current_profit,in_filled_count,in_filled_qty,out_filled_count,out_filled_qty,trigger_count,trigger_qty,average_price,trade_volume,balance,liquidation_price,schema_version
2026-06-10T09:18:07+00:00,5693279219,SOL,,2,8.97,2.2246259999999998,-2.23632837,6,,2,,4,,63.3426086957,1829.8452,7523.392518,0,3
2026-06-10T09:18:07+00:00,5617871752,WLD,,2,0,3.300816,-5.483251500000001,12,,4,,8,,0,2392.4700000000003,7524.430787,0,3
2026-06-10T09:18:07+00:00,4306550166,XRP,,2,50,0.291244,-0.2117735,4,,1,,3,,1.1076916666666667,321.08,7524.430787,0,3
2026-06-10T09:19:07+00:00,5693279219,SOL,,2,8.97,2.2246259999999998,-2.23632837,6,,2,,4,,63.3426086957,1829.8452,7523.392518,0,3
2026-06-10T09:19:07+00:00,5617871752,WLD,,2,0,3.300816,-5.483251500000001,12,,4,,8,,0,2392.4700000000003,7524.430787,0,3
2026-06-10T09:19:07+00:00,4306550166,XRP,,2,50,0.291244,-0.2117735,4,,1,,3,,1.1076916666666667,321.08,7524.430787,0,3
2026-06-10T09:20:07+00:00,5693279219,SOL,,2,8.97,2.2246259999999998,-2.23632837,6,,2,,4,,63.3426086957,1829.8452,7523.392518,0,3
2026-06-10T09:20:07+00:00,5617871752,WLD,,2,0,3.300816,-5.483251500000001,12,,4,,8,,0,2392.4700000000003,7524.430787,0,3
2026-06-10T09:20:07+00:00,4306550166,XRP,,2,50,0.291244,-0.2117735,4,,1,,3,,1.1076916666666667,321.08,7524.430787,0,3
2026-06-10T09:21:07+00:00,5693279219,SOL,,2,8.97,2.2246259999999998,-2.23632837,6,,2,,4,,63.3426086957,1829.8452,7523.392518,0,3
2026-06-10T09:21:07+00:00,5617871752,WLD,,2,0,3.300816,-4.2831675,12,,4,,8,,0,2392.4700000000003,7523.392518,0,3
2026-06-10T09:21:07+00:00,4306550166,XRP,,2,50,0.291244,-0.2117735,4,,1,,3,,1.1076916666666667,321.08,7524.430787,0,3
2026-06-10T09:22:07+00:00,5693279219,SOL,,2,5.07,2.2246259999999998,-6.596992656,7,,2,,5,,63.3426086957,2075.4492600000003,7523.306087,0,3
2026-06-10T09:22:07+00:00,5617871752,WLD,,2,0,3.300816,-4.2831675,12,,4,,8,,0,2392.4700000000003,7523.392518,0,3
2026-06-10T09:22:07+00:00,4306550166,XRP,,2,0,0.291244,-0.49711705,5,,1,,4,,0,376.10499999999996,7523.306087,0,3
2026-06-10T09:23:07+00:00,5693279219,SOL,,2,5.07,2.2246259999999998,-6.596992656,7,,2,,5,,63.3426086957,2075.4492600000003,7523.306087,0,3
2026-06-10T09:23:07+00:00,5617871752,WLD,,2,0,3.300816,-4.2831675,12,,4,,8,,0,2392.4700000000003,7523.392518,0,3
2026-06-10T09:23:07+00:00,4306550166,XRP,,2,0,0.291244,-0.49711705,5,,1,,4,,0,376.10499999999996,7523.306087,0,3
2026-06-10T09:24:08+00:00,5693279219,SOL,,2,5.07,2.2246259999999998,-6.596992656,7,,2,,5,,63.3426086957,2075.4492600000003,7523.306087,0,3
2026-06-10T09:24:08+00:00,5617871752,WLD,,2,0,3.300816,-4.2831675,12,,4,,8,,0,2392.4700000000003,7523.392518,0,3
2026-06-10T09:24:08+00:00,4306550166,XRP,,2,0,0.291244,-0.49711705,5,,1,,4,,0,376.10499999999996,7523.306087,0,3
2026-06-10T09:25:08+00:00,5693279219,SOL,,2,5.07,2.2246259999999998,-6.596992656,7,,2,,5,,63.3426086957,2075.4492600000003,7523.306087,0,3
2026-06-10T09:25:08+00:00,5617871752,WLD,,2,0,3.300816,-4.2831675,12,,4,,8,,0,2392.4700000000003,7523.392518,0,3
2026-06-10T09:25:08+00:00,4306550166,XRP,,2,0,0.291244,-0.49711705,5,,1,,4,,0,376.10499999999996,7523.306087,0,3
2026-06-10T09:26:08+00:00,5693279219,SOL,,2,5.07,2.2246259999999998,-6.596992656,7,,2,,5,,63.3426086957,2075.4492600000003,7523.306087,0,3
2026-06-10T09:26:08+00:00,5617871752,WLD,,2,0,3.300816,-4.2831675,12,,4,,8,,0,2392.4700000000003,7523.392518,0,3
