direction,anchor_ts,anchor_dt,trigger_price,move_pct,n_triggers,vol_spike,oi_delta_win,taker_win,wick_ratio,accel,funding_at_anchor,move_t5,oi_delta_t5,taker_t5,move_t15,oi_delta_t15,taker_t15,move_t30,oi_delta_t30,taker_t30,move_t60,oi_delta_t60,taker_t60,fwd_extreme_pct,bars_to_return,bars_to_continue,outcome,move_24h_signed
down,1721202180000,2024-07-17T07:43:00.000000000,0.6,-1.578,1,3.83,-1341518.0,0.4371,2.127,0.0009,0.0001,-0.413,2249122.0,0.3881,0.876,1869824.0,0.4225,0.364,1826491.0,0.4402,2.033,-1580293.0,0.4613,-0.711,14,-1,whipsaw,3.917
up,1721215560000,2024-07-17T11:26:00.000000000,0.62,1.518,2,1.6,2187982.0,0.4727,1.979,0.0011,5.5e-05,-0.579,-1142535.0,0.4158,-1.158,1280472.0,0.4303,-1.351,-1700374.0,0.4437,-1.222,-1563357.0,0.4632,2.042,10,98,whipsaw,-6.898
down,1721223720000,2024-07-17T13:42:00.000000000,0.62,-2.199,1,3.18,-751535.0,0.4949,2.103,0.0015,5.5e-05,-0.226,3242076.0,0.4444,-0.501,4360875.0,0.4849,-1.197,1057663.0,0.4821,-1.731,2346428.0,0.4981,-3.607,-1,24,trend,6.275
down,1721232180000,2024-07-17T16:03:00.000000000,0.6,-1.527,1,1.83,-4655378.0,0.4852,2.004,0.0009,7.2e-05,-0.4,-4160194.0,0.4392,0.55,-6013517.0,0.4856,0.817,-3745719.0,0.4994,2.017,-3632963.0,0.4934,-0.634,22,-1,whipsaw,6.719
up,1721234280000,2024-07-17T16:38:00.000000000,0.61,1.54,1,2.16,-49964.0,0.5026,1.826,0.0016,7.2e-05,-0.231,1039927.0,0.4507,0.379,2111143.0,0.4637,0.989,811135.0,0.5126,0.412,2157747.0,0.4947,3.347,-1,23,trend,-5.786
up,1721248860000,2024-07-17T20:41:00.000000000,0.63,1.786,1,0.76,-1082221.0,0.5035,1.609,0.0008,7.2e-05,0.064,-2297729.0,0.4557,0.191,-2419801.0,0.4568,-0.447,-2900629.0,0.4594,-0.096,-3758915.0,0.4859,1.739,24,113,whipsaw,-9.619
up,1721256420000,2024-07-17T22:47:00.000000000,0.64,1.837,1,1.7,5627949.0,0.482,1.734,0.0012,7.2e-05,-0.251,3794709.0,0.4733,-0.722,3041810.0,0.4849,-1.365,1508373.0,0.4587,-1.506,2765804.0,0.4707,0.063,18,-1,whipsaw,-10.527
down,1721264520000,2024-07-18T01:02:00.000000000,0.62,-1.832,2,1.5,1113027.0,0.4617,1.738,0.0013,0.0001,-0.466,-1193327.0,0.4836,-0.804,-2677502.0,0.4832,-0.418,-821327.0,0.484,-1.013,-1113498.0,0.4798,-3.49,-1,10,trend,11.42
down,1721279160000,2024-07-18T05:06:00.000000000,0.6,-1.552,1,0.92,5947932.0,0.4809,1.583,0.0012,0.0001,-0.465,-3388996.0,0.4575,-1.627,-3752366.0,0.4522,-2.49,-8467.0,0.4778,-3.137,2220823.0,0.4958,-5.909,-1,10,trend,7.983
down,1721287260000,2024-07-18T07:21:00.000000000,0.58,-1.508,2,1.62,-1345093.0,0.3949,1.869,0.0009,0.0001,-0.172,16594.0,0.3697,0.0,1493368.0,0.4249,0.482,-5955131.0,0.4437,-1.617,-48015.0,0.4351,-2.494,-1,39,trend,4.558
up,1721293680000,2024-07-18T09:08:00.000000000,0.58,1.507,1,1.35,-697346.0,0.5349,1.874,0.0008,0.0001,-0.138,681405.0,0.5411,-0.224,250752.0,0.4835,-0.984,-40111.0,0.4587,-0.777,1461979.0,0.4468,1.364,30,123,whipsaw,-4.697
up,1721301120000,2024-07-18T11:12:00.000000000,0.58,1.553,1,1.75,3211483.0,0.4587,1.802,0.001,0.0001,-0.292,-271242.0,0.5024,-0.292,96636.0,0.4609,-0.017,-327226.0,0.5083,-0.017,-658025.0,0.482,1.014,122,117,trend,-5.843
down,1721315340000,2024-07-18T15:09:00.000000000,0.57,-1.527,1,1.73,-2054093.0,0.4123,1.77,0.0017,0.0001,0.035,-3796481.0,0.4157,0.546,-3755306.0,0.43,0.352,-4857229.0,0.4443,-0.546,-12307005.0,0.4527,-1.779,-1,53,trend,0.634
up,1721320380000,2024-07-18T16:33:00.000000000,0.57,1.787,1,2.07,-4753356.0,0.4717,1.796,0.0011,0.0001,0.351,1499818.0,0.6098,-0.018,1111915.0,0.4894,0.018,811917.0,0.4833,0.246,-577705.0,0.4957,0.439,-1,-1,partial,0.228
