n,hit,net,per_year,pos_years,method,price,fast,slow,anchor,beats_base
200,52.5,-0.173,"{2024: np.float64(0.025), 2025: np.float64(-0.203), 2026: np.float64(-0.63)}",1,EMA,close,13,200,MA200,False
280,54.3,0.068,"{2024: np.float64(0.204), 2025: np.float64(-0.146), 2026: np.float64(0.259)}",2,EMA,close,14,21,—,False
158,57.0,0.146,"{2024: np.float64(0.391), 2025: np.float64(-0.108), 2026: np.float64(0.188)}",2,EMA,close,14,21,MA200,True
376,48.9,-0.222,"{2024: np.float64(-0.249), 2025: np.float64(-0.363), 2026: np.float64(0.22)}",1,EMA,close,14,34,—,False
217,45.2,-0.379,"{2024: np.float64(-0.328), 2025: np.float64(-0.59), 2026: np.float64(0.09)}",1,EMA,close,14,34,MA200,False
362,46.7,-0.243,"{2024: np.float64(-0.26), 2025: np.float64(-0.41), 2026: np.float64(0.35)}",1,EMA,close,14,55,—,False
238,44.1,-0.387,"{2024: np.float64(-0.271), 2025: np.float64(-0.63), 2026: np.float64(0.108)}",1,EMA,close,14,55,MA200,False
306,48.0,-0.143,"{2024: np.float64(-0.045), 2025: np.float64(-0.371), 2026: np.float64(0.457)}",1,EMA,close,14,77,—,False
213,47.4,-0.287,"{2024: np.float64(-0.225), 2025: np.float64(-0.504), 2026: np.float64(0.477)}",1,EMA,close,14,77,MA200,False
286,49.7,-0.13,"{2024: np.float64(0.009), 2025: np.float64(-0.278), 2026: np.float64(0.012)}",2,EMA,close,14,89,—,False
207,45.9,-0.229,"{2024: np.float64(-0.109), 2025: np.float64(-0.414), 2026: np.float64(0.053)}",1,EMA,close,14,89,MA200,False
279,49.5,-0.137,"{2024: np.float64(0.054), 2025: np.float64(-0.351), 2026: np.float64(0.1)}",2,EMA,close,14,100,—,False
213,46.9,-0.243,"{2024: np.float64(-0.046), 2025: np.float64(-0.458), 2026: np.float64(0.008)}",1,EMA,close,14,100,MA200,False
187,52.4,-0.2,"{2024: np.float64(-0.057), 2025: np.float64(-0.227), 2026: np.float64(-0.535)}",0,EMA,close,14,200,—,False
187,52.4,-0.2,"{2024: np.float64(-0.057), 2025: np.float64(-0.227), 2026: np.float64(-0.535)}",0,EMA,close,14,200,MA200,False
199,49.2,-0.099,"{2024: np.float64(-0.175), 2025: np.float64(-0.312), 2026: np.float64(0.866)}",1,EMA,close,21,34,—,False
129,42.6,-0.336,"{2024: np.float64(-0.375), 2025: np.float64(-0.568), 2026: np.float64(0.665)}",1,EMA,close,21,34,MA200,False
257,48.6,-0.056,"{2024: np.float64(0.1), 2025: np.float64(-0.404), 2026: np.float64(0.671)}",2,EMA,close,21,55,—,False
172,44.8,-0.24,"{2024: np.float64(-0.129), 2025: np.float64(-0.575), 2026: np.float64(0.767)}",1,EMA,close,21,55,MA200,False
221,52.0,0.06,"{2024: np.float64(0.368), 2025: np.float64(-0.144), 2026: np.float64(-0.029)}",1,EMA,close,21,77,—,False
159,47.2,-0.094,"{2024: np.float64(0.177), 2025: np.float64(-0.328), 2026: np.float64(-0.029)}",1,EMA,close,21,77,MA200,False
210,46.7,-0.136,"{2024: np.float64(0.123), 2025: np.float64(-0.382), 2026: np.float64(0.011)}",2,EMA,close,21,89,—,False
163,46.0,-0.206,"{2024: np.float64(-0.044), 2025: np.float64(-0.353), 2026: np.float64(-0.12)}",0,EMA,close,21,89,MA200,False
213,45.1,-0.187,"{2024: np.float64(0.011), 2025: np.float64(-0.372), 2026: np.float64(-0.118)}",1,EMA,close,21,100,—,False
182,45.6,-0.159,"{2024: np.float64(0.049), 2025: np.float64(-0.382), 2026: np.float64(0.034)}",2,EMA,close,21,100,MA200,False
154,47.4,-0.16,"{2024: np.float64(0.037), 2025: np.float64(-0.328), 2026: np.float64(-0.226)}",1,EMA,close,21,200,—,False
154,47.4,-0.16,"{2024: np.float64(0.037), 2025: np.float64(-0.328), 2026: np.float64(-0.226)}",1,EMA,close,21,200,MA200,False
94,55.3,0.167,"{2024: np.float64(0.115), 2025: np.float64(0.136), 2026: np.float64(0.357)}",3,EMA,close,34,55,—,True
72,54.2,0.056,"{2024: np.float64(-0.167), 2025: np.float64(0.04), 2026: np.float64(0.573)}",2,EMA,close,34,55,MA200,False
133,48.9,-0.114,"{2024: np.float64(0.195), 2025: np.float64(-0.467), 2026: np.float64(0.046)}",2,EMA,close,34,77,—,False
115,49.6,-0.067,"{2024: np.float64(0.141), 2025: np.float64(-0.36), 2026: np.float64(0.23)}",2,EMA,close,34,77,MA200,False
140,46.4,-0.237,"{2024: np.float64(-0.047), 2025: np.float64(-0.386), 2026: np.float64(-0.345)}",0,EMA,close,34,89,—,False
126,47.6,-0.194,"{2024: np.float64(-0.018), 2025: np.float64(-0.313), 2026: np.float64(-0.332)}",0,EMA,close,34,89,MA200,False
143,49.7,-0.037,"{2024: np.float64(0.312), 2025: np.float64(-0.403), 2026: np.float64(0.08)}",2,EMA,close,34,100,—,False
